id,name,lat,long,size
598224,Košice-Západ,48.7143063,21.2345873,67372
598682,Košice-Dargovských hrdinov,48.7442344,21.2771429,45957
599786,Košice-Šebastovce,48.6549691,21.2703882,41413
599816,Košice-Nad jazerom,48.6893403,21.2844607,40658
599824,Košice-Juh,48.7092508,21.2570841,38679
598151,Košice-Sever,48.7366124,21.2461837,36779
599883,Košice-Sídlisko KVP,48.7164151,21.2148908,36149
599841,Košice-Šaca,48.6370535,21.1713844,33789
599875,Košice-Sídlisko Ťahanovce,48.7539765,21.2676675,9716
599972,Košice-Luník IX,48.6972038,21.2224101,7648
599794,Košice-Krásna,48.6726061,21.3188165,6804
599093,Košice-Barca,48.663056,21.241111,5779
599018,Košice-Košická Nová Ves,48.7334389,21.2977631,4186
598127,Košice-Ťahanovce,48.757492,21.2551353,3442
598216,Košice-Myslava,48.7091002,21.2045831,3436
599913,Košice-Vyšné Opátske,48.7164117,21.2799977,3209
598208,Košice-Pereš,48.6888583,21.211786,2746
598119,Košice-Kavečany,48.7754061,21.2058674,2029
599859,Košice-Poľov,48.6648877,21.1935779,1802
598186,Košice-Staré Mesto,48.7223734,21.2570032,1086
599891,Košice-Džungľa,48.7372364,21.268109,978
598194,Košice-Lorinčík,48.6879213,21.1952577,845
